pair,horizon_w,bucket,n,mean_fwd_pct,t_stat
NZDUSD,1,60-80,328,-0.03614991355175679,-0.4257066059057872
NZDUSD,1,80-100,277,-0.05732359880915523,-0.582974822155286
NZDUSD,2,0-20,591,0.08969009848799203,1.0725337201753924
NZDUSD,2,20-40,526,0.32032803412057675,3.7422920864072453
NZDUSD,2,40-60,710,-0.428697455262597,-5.631068116220051
NZDUSD,2,60-80,328,0.0009002961876798225,0.007387401675162679
NZDUSD,2,80-100,277,-0.13984914763495243,-1.0617694081953002
NZDUSD,4,0-20,591,0.23108155043682432,2.0003607599522297
NZDUSD,4,20-40,526,0.6109073709697581,4.768378580369591
NZDUSD,4,40-60,700,-0.9346718085883771,-9.302282408317616
NZDUSD,4,60-80,328,0.12226287825411299,0.7477680568203499
NZDUSD,4,80-100,277,-0.2942985770082814,-1.6834378487313777
NZDUSD,8,0-20,591,0.42911362609250175,2.7556600441588803
NZDUSD,8,20-40,526,0.4971881174905008,2.7438915936257997
NZDUSD,8,40-60,680,-0.889361015023781,-6.519830327938372
NZDUSD,8,60-80,328,-0.10066688015962288,-0.5257977388521696
NZDUSD,8,80-100,277,-1.319946676321082,-6.607320193798565
NZDUSD,13,0-20,583,0.4670638598946137,2.3349056405485245
NZDUSD,13,20-40,521,0.28716064363812643,1.2787064564139135
NZDUSD,13,40-60,668,-0.09711395163291137,-0.5651603769721533
NZDUSD,13,60-80,328,-0.6260217678349778,-2.4373402525706935
NZDUSD,13,80-100,277,-3.1153689719051565,-13.973209697270159
USDJPY,1,0-20,459,0.012008247867424892,0.232257787975511
USDJPY,1,20-40,534,0.07395068939791369,1.2681956040831177
USDJPY,1,40-60,483,0.005462965204254058,0.11458156544155572
USDJPY,1,60-80,652,0.10083435866618358,2.0890114862596096
USDJPY,1,80-100,309,0.11716609838093259,1.3131702316232332
USDJPY,2,0-20,459,-0.02350948695974376,-0.32726048371560285
USDJPY,2,20-40,534,0.221972523743494,2.739528042651516
USDJPY,2,40-60,478,-0.03392304930813203,-0.512110296456808
USDJPY,2,60-80,652,0.2055680660819839,2.9599100611528146
USDJPY,2,80-100,309,0.3045116267086075,2.4241258909632175
USDJPY,4,0-20,459,0.04164337267589002,0.4194764111984268
USDJPY,4,20-40,534,0.4110992410583633,3.7907066620372767
USDJPY,4,40-60,468,-0.11163114006191431,-1.1717872120771422
USDJPY,4,60-80,652,0.1923589880982202,1.8753748805912227
USDJPY,4,80-100,309,1.1275033779617438,6.92971132652625
USDJPY,8,0-20,459,0.27632506013856295,1.8897937958440714
USDJPY,8,20-40,518,1.002691205429074,5.340245508360894
USDJPY,8,40-60,464,-0.1559977852550075,-1.0668643202917298
USDJPY,8,60-80,652,0.029986663045659376,0.24013594437655758
USDJPY,8,80-100,309,2.2902277645233453,10.358825072598313
USDJPY,13,0-20,459,0.8033300282095144,3.4721868953023804
USDJPY,13,20-40,506,2.030646737859097,7.2683600407639135
USDJPY,13,40-60,451,0.09207927366293434,0.41930871960722754
USDJPY,13,60-80,652,-0.2186467655428302,-1.4007146561136046
USDJPY,13,80-100,309,2.6340779625632105,13.512788941717302
USDCAD,1,0-20,459,0.016322655277383663,0.3492769783695419
USDCAD,1,20-40,534,0.005079731407128755,0.11155596989169488
USDCAD,1,40-60,483,0.07000528005384082,1.5434478696408662
USDCAD,1,60-80,652,0.1543671464049586,4.031190797937153
USDCAD,1,80-100,309,0.012020843810315186,0.17875619863343506
USDCAD,2,0-20,459,0.07440354796480364,1.0825693688021008
USDCAD,2,20-40,534,0.016183308334379434,0.2892650775773162
USDCAD,2,40-60,478,0.09741091850457699,1.3954259330121106
USDCAD,2,60-80,652,0.31597320534718754,6.071688594867518
USDCAD,2,80-100,309,0.004486296787441282,0.04788151300540604
USDCAD,4,0-20,459,0.18084485730227312,1.9459608441897982
USDCAD,4,20-40,534,0.1491440095313687,1.7640154350902182
USDCAD,4,40-60,468,0.05130825476630634,0.5790369386014358
USDCAD,4,60-80,652,0.5887016709677448,8.106171229871755
USDCAD,4,80-100,309,0.04597413514786059,0.3415133252860781
USDCAD,8,0-20,459,0.27554138764097735,2.440757368430892
USDCAD,8,20-40,518,0.4631542327642564,4.448099898685317
USDCAD,8,40-60,464,-0.1328001652331858,-0.8917247108436701
USDCAD,8,60-80,652,1.3237327860017352,11.668647638839301
USDCAD,8,80-100,309,-0.04871736966647872,-0.3006461573453236
USDCAD,13,0-20,459,0.6498775047037926,6.4733029561790225
USDCAD,13,20-40,506,0.7854167231228386,5.361883937747389
USDCAD,13,40-60,451,-0.20854909694009438,-1.01581483841519
USDCAD,13,60-80,652,1.490329665877801,10.493938752927066
USDCAD,13,80-100,309,0.987584176378369,4.126654649607047
EURJPY,1,0-20,437,0.10283431115965622,1.3947852943077341
EURJPY,1,20-40,509,-0.11926741988239721,-2.295943873501198
EURJPY,1,40-60,576,-0.024029601696135206,-0.3629330141681243
EURJPY,1,60-80,441,0.09577307271913668,1.4086852427447059
EURJPY,1,80-100,474,0.07182192892961203,1.2134294054438532
EURJPY,2,0-20,432,0.17576717005281306,1.6912334565590974
EURJPY,2,20-40,509,-0.23251810859876254,-2.799175891849498
EURJPY,2,40-60,576,-0.04308707298334828,-0.4728848031185515
EURJPY,2,60-80,441,0.16859201679621522,1.7748498366974026
EURJPY,2,80-100,474,0.19241269224278346,2.303381546962604
EURJPY,4,0-20,422,0.08839677246357584,0.5756782817767834
EURJPY,4,20-40,509,-0.22014613093781885,-1.6831181210315491
EURJPY,4,40-60,576,-0.01566089460275131,-0.13704093010066104
EURJPY,4,60-80,441,0.06720554896599477,0.4838224793620984
EURJPY,4,80-100,474,0.540866696851491,4.873794723961948
EURJPY,8,0-20,412,-0.20227483078839656,-0.8651557311303493
EURJPY,8,20-40,499,-0.31226756308879944,-1.705826342487747
EURJPY,8,40-60,576,0.5714794677244102,2.999013825762434
EURJPY,8,60-80,441,-0.19167966741279238,-1.1031998134537675
EURJPY,8,80-100,474,0.9471085012755613,6.357641512153775
EURJPY,13,0-20,387,-0.2731201962549262,-0.9567287717686682
EURJPY,13,20-40,499,-0.5926125311498731,-2.666435171229145
EURJPY,13,40-60,576,1.0779382633114103,3.8167550992522883
EURJPY,13,60-80,441,0.5040923168653862,2.1012564344611917
EURJPY,13,80-100,474,0.8397802776567096,4.731056622047075
EURGBP,1,0-20,437,-0.023480426223161245,-0.40995209089161166
EURGBP,1,20-40,509,-0.1118273041316157,-2.4012282209665274
EURGBP,1,40-60,576,0.08686225916560349,1.5353697373177735
EURGBP,1,60-80,441,0.07140413876933822,1.5029570575421123
EURGBP,1,80-100,474,-0.003060990938835741,-0.07020034206315674
EURGBP,2,0-20,432,-0.09833330841435692,-1.3339714014236235
EURGBP,2,20-40,509,-0.23333373417128034,-3.422265723302454
EURGBP,2,40-60,576,0.22803427425332856,3.0725129434824168
EURGBP,2,60-80,441,0.0796148898387626,1.2086266613589656
EURGBP,2,80-100,474,-0.0034660295857623447,-0.058543319355678705
EURGBP,4,0-20,422,-0.21034150829871448,-2.371468259945276
EURGBP,4,20-40,509,-0.43853918032173606,-4.576867162808333
EURGBP,4,40-60,576,0.22889276243348083,2.536902369495856
EURGBP,4,60-80,441,0.3110241308248294,3.106080074528878
EURGBP,4,80-100,474,0.048200426168352954,0.5829822695353118
EURGBP,8,0-20,412,-0.5039502960820491,-3.4774991983270955
EURGBP,8,20-40,499,-0.6711058935938218,-4.603261029250423
EURGBP,8,40-60,576,0.555483724888389,4.549343400658352
EURGBP,8,60-80,441,0.23127500152245845,1.6995408973462236
EURGBP,8,80-100,474,0.2908017760593466,2.855720213855395
EURGBP,13,0-20,387,-1.0630634604364806,-5.248246277781687
EURGBP,13,20-40,499,-0.8651507282044519,-4.678385712775828
EURGBP,13,40-60,576,1.2602144581351564,9.21294258885825
EURGBP,13,60-80,441,0.2062347135044038,1.2540007504819495
EURGBP,13,80-100,474,0.19892622678787808,1.670265428402724
