date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
2001-08-21,-19476,10800,45476,20898,40374,15386,4586
2001-08-28,-24374,14793,50269,11984,36358,18852,4059
2001-09-04,-18883,12046,48467,12737,31620,16192,4146
2001-09-10,-22124,12425,63015,22810,44934,17074,4649
2001-09-18,-19935,10169,39768,9291,29226,13239,3070
2001-09-25,-20709,9306,40103,7926,28635,13092,3786
2001-10-02,-17126,9194,40185,9195,26321,13436,4242
2001-10-09,-17561,8288,40137,8969,26530,13342,5054
2001-10-16,-9577,4786,37905,13434,23011,9690,4904
2001-10-23,480,-1279,39343,21190,20710,4946,6225
2001-10-30,-2330,899,38163,20535,22865,6313,5414
2001-11-06,-7973,2050,37327,17059,25032,6416,4366
2001-11-13,-4971,1755,38885,20289,25260,4989,3234
2001-11-20,11682,-6058,43540,29157,17475,3162,9220
2001-11-27,14382,-8478,43792,31322,16940,1801,10279
2001-12-04,15733,-8948,42861,32555,16822,1888,10836
2001-12-11,6556,-2460,44312,30037,23481,2417,4877
2001-12-18,-5629,1742,23677,6507,12136,4889,3147
2001-12-21,-631,-1628,22919,9564,10195,2670,4298
2001-12-28,-1813,-2485,22515,10324,12137,647,3132
2002-01-08,-593,-3410,24447,10330,10923,966,4376
2002-01-15,2339,-4517,25096,12134,9795,900,5417
2002-01-22,5948,-3089,25242,12999,7051,1725,4814
2002-01-29,17920,-11942,33552,21977,4057,992,12934
2002-02-05,19760,-10864,33289,23182,3422,545,11409
2002-02-12,8919,-5398,31419,17163,8244,3751,9149
2002-02-19,5418,-5595,26728,12892,7474,1597,7192
2002-02-26,10950,-6214,33026,19107,8157,3560,9774
2002-03-05,7657,-3596,27814,14664,7007,3367,6963
2002-03-12,15174,-10123,39898,25956,10782,2112,12235
2002-03-19,8852,-6691,27150,15322,6470,2360,9051
2002-03-26,-1373,-855,29410,10704,12077,6723,7578
2002-04-02,-14426,4602,38169,8601,23027,10649,6047
2002-04-09,-10625,244,34199,10876,21501,5868,5624
2002-04-16,-13116,2437,37817,10757,23873,8350,5913
