date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
2010-03-02,69238,-66770,218803,135287,66049,35894,102664
2010-03-09,80625,-74551,243524,169613,88988,32589,107140
2010-03-16,49404,-46341,163822,82124,32720,41800,88141
2010-03-23,81976,-74917,195287,113860,31884,39953,114870
2010-03-30,97793,-85326,223554,147689,49896,35205,120531
2010-04-06,77030,-67223,208883,129186,52156,39036,106259
2010-04-13,65883,-55464,203199,124881,58998,37157,92621
2010-04-20,76148,-71424,208291,130859,54711,33614,105038
2010-04-27,97346,-89013,238298,155391,58045,34462,123475
2010-05-04,112913,-103402,261076,175841,62928,36675,140077
2010-05-11,124494,-113890,287589,197808,73314,39584,153474
2010-05-18,119154,-107143,300526,195262,76108,54411,161554
2010-05-25,117253,-106736,281966,190207,72954,45630,152366
2010-06-01,97088,-93325,275266,176197,79109,45006,138331
2010-06-08,111386,-111945,305060,198558,87172,45938,157883
2010-06-15,74991,-62360,227632,133605,58614,49526,111886
2010-06-22,81220,-70974,224050,139417,58197,41013,111987
2010-06-29,83486,-73670,225752,140113,56627,43357,117027
2010-07-06,42461,-38909,228333,122675,80214,56316,95225
2010-07-13,34894,-27050,225703,123535,88641,56187,83237
2010-07-20,33054,-24251,230118,130879,97825,55008,79259
2010-07-27,29259,-21339,232193,130508,101249,56622,77961
2010-08-03,11027,-7297,236101,127496,116469,60410,67707
2010-08-10,4919,-3731,234276,132681,127762,55797,59528
2010-08-17,13142,-14627,250090,137257,124115,61324,75951
2010-08-24,24529,-21603,245448,142830,118301,54591,76194
2010-08-31,31430,-25569,241133,143877,112447,51099,76668
2010-09-07,29587,-23699,257788,148315,118728,53156,76855
2010-09-14,9670,-9644,170651,67986,58316,54543,64187
2010-09-21,-7025,5097,167463,63931,70956,52300,47203
2010-09-28,-42440,35330,190039,64109,106549,70638,35308
2010-10-05,-55989,48243,197406,66364,122353,72979,24736
2010-10-12,-49059,41511,197836,73180,122239,68718,27207
2010-10-19,-62835,46748,219761,80283,143118,74855,28107
2010-10-26,-51216,40505,209103,79733,130949,70109,29604
2010-11-02,-50623,38610,206972,74771,125394,70185,31575
2010-11-09,-37795,23283,204528,80065,117860,61477,38194
2010-11-16,-17555,8606,195598,82056,99611,54708,46102
2010-11-23,-956,-8293,187189,90172,91128,43670,51963
2010-11-30,1998,-7248,203930,96865,94867,47264,54512
2010-12-07,22481,-15290,198099,115122,92641,32322,47612
2010-12-14,12708,-10304,146781,63095,50387,35689,45993
2010-12-21,13833,-14093,156136,68741,54908,38604,52697
2010-12-28,27527,-26479,162312,80025,52498,33833,60312
2011-01-04,24855,-24201,163239,77703,52848,37102,61303
2011-01-11,50392,-45182,202004,108835,58443,42359,87541
2011-01-18,-5214,4109,188933,65807,71021,67309,63200
2011-01-25,-28088,22901,199706,62983,91071,73488,50587
2011-02-01,-46401,39934,211730,65404,111805,80381,40447
2011-02-08,-47883,34734,203541,65994,113877,73502,38768
2011-02-15,-42313,32464,193304,69268,111581,63395,30931
2011-02-22,-53834,45598,207869,68789,122623,77454,31856
2011-03-01,-63130,51308,217066,66564,129694,83104,31796
2011-03-08,-74393,62294,263702,93190,167583,98171,35877
2011-03-15,-63634,46316,190848,44477,108111,86506,40190
2011-03-22,-59995,48353,194709,53020,113015,81574,33221
2011-03-29,-72315,56630,218177,62196,134511,93031,36401
2011-04-05,-76545,59857,236270,70097,146642,99405,39548
2011-04-12,-82714,64985,243203,69054,151768,105425,40440
2011-04-19,-80728,62195,244006,74976,155704,102686,40491
2011-04-26,-89333,68279,249000,72619,161952,105683,37404
2011-05-03,-124855,99516,264337,62075,186930,128460,28944
2011-05-10,-79732,61447,242927,83295,163027,98054,36607
2011-05-17,-51803,41645,250533,105953,157756,89941,48296
2011-05-24,-22818,19129,258663,134068,156886,75182,56053
2011-05-31,-28289,21970,270101,136097,164386,80494,58524
2011-06-07,-59176,51836,296126,133843,193019,96555,44719
2011-06-14,-64549,49894,190373,48746,113295,84580,34686
2011-06-21,-40691,29771,189190,62478,103169,72153,42382
2011-06-28,-43346,32987,183206,57791,101137,68800,35813
2011-07-05,-56631,43194,194329,54485,111116,81860,38666
2011-07-12,-15702,12416,185541,70726,86428,61392,48976
2011-07-19,-6486,9246,180314,77199,83685,58580,49334
2011-07-26,-25744,17038,183690,71503,97247,60177,43139
2011-08-02,-6099,1763,190722,85149,91248,58313,56550
2011-08-09,4967,-8273,183571,86027,81060,49029,57302
2011-08-16,-7908,6726,168931,75036,82944,47094,40368
2011-08-23,-6090,2539,174714,78732,84822,47711,45172
2011-08-30,-3154,-384,179162,81983,85137,43894,44278
2011-09-06,45744,-36443,209515,128794,83050,33167,69610
2011-09-13,79017,-54459,264500,194836,115819,25704,80163
2011-09-20,102941,-79460,201556,147760,44819,19920,99380
2011-09-27,107680,-82473,215172,159618,51938,19705,102178
2011-10-04,109202,-82697,220839,169387,60185,18104,100801
2011-10-11,100555,-73795,223167,170021,69466,17040,90835
2011-10-18,107733,-77720,230483,178450,70717,20977,98697
2011-10-25,104642,-76512,235774,181494,76852,21323,97835
2011-11-01,80945,-60060,231229,167499,86554,26311,86371
2011-11-08,79372,-54257,231445,168347,88975,27943,82200
2011-11-15,108471,-76147,244552,187608,79137,24048,100195
2011-11-22,118334,-85068,260064,199707,81373,25943,111011
2011-11-29,137842,-104302,277511,218546,80704,27620,131922
2011-12-06,123743,-95814,283309,215981,92238,34521,130335
2011-12-13,143926,-116457,327740,244941,101015,35507,151964
2011-12-20,143119,-113697,266597,188839,45720,49557,163254
2011-12-27,156627,-127879,276022,204337,47710,45183,173062
2012-01-03,166069,-138909,282790,212985,46916,40441,179350
2012-01-10,181662,-155195,294263,231765,50103,29770,184965
2012-01-17,187185,-160030,300962,238254,51069,28396,188426
2012-01-24,197616,-171347,315350,248435,50819,31299,202646
2012-01-31,183925,-157546,305328,239127,55202,31906,189452
2012-02-07,165164,-140593,288657,221948,56784,32128,172721
2012-02-14,175133,-148641,291060,228941,53808,26774,175415
2012-02-21,169534,-142159,287525,221151,51617,29369,171528
2012-02-28,131456,-109674,271282,194512,63056,35728,145402
2012-03-06,142288,-116473,284739,205574,63286,39943,156416
2012-03-13,128764,-99336,311057,212175,83411,40325,139661
2012-03-20,112555,-82954,258535,176529,63974,50416,133370
2012-03-27,112551,-89129,239446,168190,55639,34033,123162
2012-04-03,104503,-79480,241006,166622,62119,39835,119315
2012-04-10,138049,-101364,274830,204616,66567,39253,140617
2012-04-17,155823,-118125,295844,226108,70285,40310,158435
2012-04-24,149278,-113367,287215,219295,70017,36289,149656
2012-05-01,142996,-106990,279605,211742,68746,34957,141947
2012-05-08,182886,-143984,321037,252598,69712,36022,180006
2012-05-15,219833,-173869,356674,286563,66730,38475,212344
2012-05-22,238697,-195361,376708,308311,69614,34714,230075
2012-05-29,246898,-203415,394160,318223,71325,40287,243702
2012-06-05,259084,-214418,401812,328987,69903,36651,251069
2012-06-12,234432,-195187,422131,317031,82599,39245,234432
2012-06-19,176229,-141066,311933,224084,47855,54449,195515
2012-06-26,197420,-159880,315785,244942,47522,36933,196813
2012-07-03,181371,-146177,302289,235912,54541,32236,178413
2012-07-10,202464,-165705,326374,251888,49424,36409,202114
2012-07-17,203206,-167249,323228,254350,51144,31821,199070
2012-07-24,191780,-155066,324443,248645,56865,39501,194567
2012-07-31,172712,-138994,311436,234082,61370,41327,180321
2012-08-07,163894,-131711,322243,238441,74547,46742,178453
2012-08-14,167885,-137810,321568,241859,73974,43152,180962
2012-08-21,147443,-123932,321166,232459,85016,45986,169918
2012-08-28,127633,-101561,311925,224688,97055,45927,147488
2012-09-04,124788,-102306,314363,225276,100488,46580,148886
2012-09-11,113083,-93658,332637,230240,117157,43180,136838
2012-09-18,87065,-73482,234394,140884,53819,48817,122299
2012-09-25,59724,-50238,218363,119654,59930,53345,103583
2012-10-02,59630,-50265,217516,123654,64024,48335,98600
2012-10-09,82398,-72570,227541,142542,60144,39946,112516
2012-10-16,67456,-53495,219809,131046,63590,42041,95536
2012-10-23,69565,-55219,216842,133705,64140,38171,93390
2012-10-30,75146,-58204,221524,139267,64121,38189,96393
2012-11-06,88327,-67141,227725,143191,54864,45212,112353
2012-11-13,101996,-83646,231660,150428,48432,39863,123509
2012-11-20,109965,-91400,232328,155028,45063,36692,128092
2012-11-27,79532,-66693,210234,130148,50616,35799,102492
2012-12-04,39684,-32795,217546,117877,78193,48300,81095
2012-12-11,34598,-31623,241932,133355,98757,51536,83159
2012-12-18,7751,-9736,193681,71803,64052,69460,79196
2012-12-24,-4070,-2549,202591,72084,76154,75072,77621
2012-12-31,-10590,5126,207608,71891,82481,81932,76806
2013-01-08,9472,-8035,194251,77301,67829,66329,74364
2013-01-15,-15065,7315,211373,73119,88184,80174,72859
2013-01-22,-27648,21381,216059,74708,102356,83840,62459
2013-01-29,-35443,27472,237856,81422,116865,93791,66319
2013-02-05,-42710,37952,251236,89236,131946,97397,59445
2013-02-12,-33229,24181,239566,92973,126202,87135,62954
2013-02-19,-26298,19103,234039,91704,118002,81014,61911
2013-02-26,8031,-9394,230567,101311,93280,74832,84226
2013-03-05,38616,-26116,218469,107811,69195,63355,89471
2013-03-12,35920,-24787,213113,104909,68989,57473,82260
2013-03-19,58162,-44884,195073,102319,44157,48958,93842
2013-03-26,62483,-49095,204257,117345,54862,41260,90355
2013-04-02,84219,-65701,235871,147918,63699,44459,110160
2013-04-09,69206,-50858,220353,141694,72488,35343,86201
2013-04-16,44514,-29764,215657,121372,76858,49321,79085
2013-04-23,49633,-34275,220051,127780,78147,47807,82082
2013-04-30,36171,-30149,222618,113781,77610,56771,86920
2013-05-07,46116,-33533,214597,115146,69030,52517,86050
2013-05-14,66846,-46921,232417,132700,65854,52843,99764
2013-05-21,108146,-80949,265194,177851,69705,43037,123986
2013-05-28,110578,-84644,264212,180752,70174,36916,121560
2013-06-04,70554,-51621,240733,148967,78413,43804,95425
2013-06-11,21908,-7533,260418,128701,106793,68956,76489
2013-06-18,-15846,20030,213331,64586,80432,91304,71274
2013-06-25,-16150,17357,211651,70649,86799,87192,69835
2013-07-02,27041,-16090,196064,88115,61074,59270,75360
2013-07-09,62619,-40900,225051,124661,62042,52159,93059
2013-07-16,60801,-37165,220137,126783,65982,53228,90393
2013-07-23,40832,-27900,219429,109572,68740,63130,91030
2013-07-30,23455,-8504,222957,96694,73239,78211,86715
2013-08-06,4302,6061,228726,90858,86556,85239,79178
2013-08-13,-1924,16057,225665,85283,87207,89984,73927
2013-08-20,-31181,36746,249660,78210,109391,113092,76346
2013-08-27,-35868,40081,248672,78540,114408,113592,73511
2013-09-03,-8641,22738,244563,99298,107939,98589,75851
2013-09-10,-456,12696,257969,122829,123285,82772,70076
2013-09-17,-20466,31907,218264,73890,94356,100963,69056
2013-09-24,-66156,65844,254464,72759,138915,129862,64018
2013-10-01,-66863,68276,255067,73837,140700,128580,60304
2013-10-08,-65673,68683,263859,81614,147287,127301,58618
2013-10-15,-54358,60374,257199,84477,138835,121327,60953
2013-10-22,-70600,72434,278139,82406,153006,137061,64627
2013-10-29,-68878,70617,282923,87462,156340,136054,65437
2013-11-05,-31653,33143,252554,93269,124922,103333,70190
2013-11-12,4005,16826,229166,97194,93189,86121,69295
2013-11-19,9890,8911,232326,105889,95999,81070,72159
2013-11-26,20998,-431,243049,120631,99633,74118,74549
2013-12-03,10569,9312,253653,120205,109636,82230,72918
2013-12-10,2701,15930,302100,152652,149951,91669,75739
2013-12-17,-14453,27923,230955,83222,97675,97780,69857
2013-12-24,-19709,32172,240206,87272,106981,102462,70290
2013-12-31,-20429,30589,242071,88251,108680,101916,71327
2014-01-07,6279,14498,238570,105422,99143,88119,73621
2014-01-14,8992,9246,243434,107883,98891,87059,77813
2014-01-21,35061,-3772,255300,131073,96012,79321,83093
2014-01-28,8476,14347,260799,126816,118340,86963,72616
2014-02-04,40955,-13610,274146,160736,119781,67614,81224
2014-02-11,25351,-6929,281037,157239,131888,75048,81977
2014-02-18,6587,8599,291360,149375,142788,88634,80035
2014-02-25,288,13900,296924,149693,149405,93003,79103
2014-03-04,-10747,23452,304308,144494,155241,103868,80416
2014-03-11,-22132,36385,322020,148565,170697,110103,73718
2014-03-18,-38443,52991,264443,91888,130331,117819,64828
2014-03-25,-23033,39634,262179,103755,126788,106914,67280
2014-04-01,-14461,33238,260075,111333,125794,101849,68611
2014-04-08,-5353,23300,261439,120001,125354,92635,69335
2014-04-15,-9391,27688,270722,116428,125819,106252,78564
2014-04-22,-6411,25774,266259,116984,123395,101204,75430
2014-04-29,-5447,25734,271515,118635,124082,102285,76551
2014-05-06,-15616,32551,277013,108249,123865,110673,78122
2014-05-13,19871,-2175,268142,131899,112028,84383,86558
2014-05-20,31315,-9220,268199,145672,114357,75013,84233
2014-05-27,41401,-16633,274051,157716,116315,70753,87386
2014-06-03,60850,-33025,280747,177505,116655,57109,90134
2014-06-10,87978,-57185,331636,224523,136545,43739,100924
2014-06-17,92521,-61835,285489,196143,103622,51405,113240
2014-06-24,90665,-57503,291244,197697,107032,55062,112565
