date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
2000-01-11,-46194,29769,73157,8310,54504,35479,5710
2000-01-18,-41158,24067,76432,10351,51509,35224,11157
2000-01-25,-50298,32541,76786,7762,58060,39143,6602
2000-02-01,-55036,38938,80659,6882,61918,43190,4252
2000-02-08,-59967,44193,85895,6499,66466,47362,3169
2000-02-15,-56956,40642,81169,7592,64548,42619,1977
2000-02-22,-56332,40404,79929,6672,63004,42051,1647
2000-02-29,-38262,23909,74070,11419,49681,34389,10480
2000-03-07,-34487,17797,74416,10866,45353,33524,15727
2000-03-14,-32603,16668,74268,10131,42734,34517,17849
2000-03-21,-33628,17471,74137,9995,43623,33727,16256
2000-03-28,-32718,16184,78683,12166,44884,34467,18283
2000-04-04,-32129,14341,73613,11534,43663,30926,16585
2000-04-11,-33637,18098,71464,11487,45124,30727,12629
2000-04-18,-35411,19586,76728,16863,52274,31313,11727
2000-04-25,-28088,11269,82551,20231,48319,31410,20141
2000-05-02,-28249,11793,72673,12143,40392,32221,20428
2000-05-09,-31719,16084,73478,11666,43385,32293,16209
2000-05-16,-31617,16323,72016,10743,42360,31607,15284
2000-05-23,-27875,12533,75631,13162,41037,32657,20124
2000-05-30,-21056,5184,81362,15036,36092,34271,29087
2000-06-06,-33207,16139,76294,12980,46187,31425,15286
2000-06-13,-32643,14939,75159,14899,47542,29290,14351
2000-06-20,-33825,16791,72499,13497,47322,30096,13305
2000-06-27,-27763,8781,78737,17575,45338,29502,20721
2000-07-05,-29421,13357,74024,14944,44365,30461,17104
2000-07-11,-27911,11788,74345,15297,43208,31211,19423
2000-07-18,-28011,11350,72072,15574,43585,29087,17737
2000-07-25,-24884,8897,76902,17686,42570,30622,21725
2000-08-01,-25232,9715,78268,19545,44777,29482,19767
2000-08-08,-21057,6865,89533,26259,47316,31969,25104
2000-08-15,-17421,2948,96284,30478,47899,33832,30884
2000-08-22,-14387,1212,98698,32778,47165,34195,32983
2000-08-29,-15312,2699,87766,26932,42244,33377,30678
2000-09-05,-21141,7609,74290,17844,38985,32041,24432
2000-09-12,-22725,9255,72522,14892,37617,33240,23985
2000-09-19,-20686,6779,73625,15525,36211,32520,25741
2000-09-26,-20712,6908,73351,16074,36786,32378,25470
2000-10-03,-22346,8658,72365,15734,38080,31772,23114
2000-10-10,-24138,8848,74915,16583,40721,32440,23592
2000-10-17,-22395,7744,78490,17053,39448,34715,26971
2000-10-24,-18927,3034,82093,19786,38713,35485,32451
2000-10-31,-16234,-290,84841,22533,38767,34460,34750
2000-11-07,-15833,-12,86546,23369,39202,35551,35563
2000-11-14,-12797,-3710,84208,25223,38020,30920,34630
2000-11-21,-13023,-1820,81382,23786,36809,30617,32437
2000-11-28,-14106,1679,79683,22809,36915,33049,31370
2000-12-05,-14108,1248,73515,16187,30295,33964,32716
2000-12-12,-15940,1944,75097,15283,31223,34400,32456
2000-12-19,-12141,-794,73261,16396,28537,32047,32841
2000-12-26,-12736,-760,72291,15855,28591,32052,32812
2001-01-02,-10697,-2215,73255,17128,27825,31882,34097
2001-01-09,-11359,-729,72565,16317,27676,32187,32916
2001-01-16,-17914,1609,69210,11359,29273,30853,29244
2001-01-23,-25249,11800,66720,12308,37557,30964,19164
2001-01-30,-29527,15163,66478,12006,41533,31132,15969
2001-02-06,-28097,17147,66339,11683,39780,32995,15848
2001-02-13,-18795,6435,72095,19247,38042,29528,23093
2001-02-20,-12892,1211,76826,22424,35316,29426,28215
2001-02-27,-11390,207,83021,27861,39251,29767,29560
2001-03-06,-9545,-2298,74339,20351,29896,29431,31729
2001-03-13,-10760,-1067,73038,18841,29601,29642,30709
2001-03-20,-8134,-1442,75015,22511,30645,29711,31153
2001-03-27,-11125,2510,73258,20304,31429,30362,27852
2001-04-03,-10004,1152,75281,21688,31692,30745,29593
2001-04-10,-11227,2226,75305,21300,32527,30576,28350
2001-04-17,-12450,2619,70392,19126,31576,28102,25483
2001-04-24,-17070,6555,67640,17204,34274,28649,22094
2001-05-01,-13311,4103,64781,13694,27005,28896,24793
2001-05-08,-10106,622,66853,15084,25190,29074,28452
2001-05-15,-8857,-1461,69410,16877,25734,29584,31045
2001-05-22,-24112,11327,67973,12706,36818,32379,21052
2001-05-29,-28338,15607,68464,12182,40520,32809,17202
2001-06-05,-21653,11406,66439,13241,34894,30503,19097
2001-06-12,-17440,7175,68826,16402,33842,29066,21891
2001-06-19,-18943,9533,65308,14499,33442,28507,18974
2001-06-26,-16084,6124,70494,16140,32224,29153,23029
2001-07-03,-12301,3562,69074,15051,27352,31180,27618
2001-07-10,-9759,567,73531,19284,29043,31663,31096
2001-07-17,-7746,-2586,77428,22156,29902,31520,34106
2001-07-24,-8176,-1977,76722,22102,30278,31863,33840
2001-07-31,-8399,-1753,77616,22132,30531,32373,34126
2001-08-07,-8131,-1350,78056,22526,30657,32451,33801
2001-08-14,-9716,-626,75207,20887,30603,31157,31783
2001-08-21,-13132,2970,74613,18813,31945,32955,29985
2001-08-28,-12813,3472,73714,18649,31462,33344,29872
2001-09-04,-10571,1603,72547,18767,29338,32968,31365
2001-09-10,-10506,1230,70825,17293,27799,32728,31498
2001-09-18,-12299,8859,63592,11036,23335,34064,25205
2001-09-25,-25936,24120,63127,9778,35714,33697,9577
2001-10-02,-44036,29993,65473,8360,52396,37429,7436
2001-10-09,-48741,34739,71215,8332,57073,43743,9004
2001-10-16,-44492,31256,65557,7944,52436,37952,6696
2001-10-23,-22099,23095,65520,13080,35179,31598,8503
2001-10-30,-29671,18626,67416,16751,46422,30473,11847
2001-11-06,-19222,9192,73175,22456,41678,31175,21983
2001-11-13,-17128,6839,73671,22830,39958,31920,25081
2001-11-20,-15085,4033,75468,23035,38120,31532,27499
2001-11-27,-12394,1423,72849,21153,33547,31589,30166
2001-12-04,-13179,3053,71351,20179,33358,32356,29303
2001-12-11,-18230,7904,67829,16269,34499,32823,24919
2001-12-18,-23319,13091,65704,15141,38460,32107,19016
2001-12-21,-27660,17968,63848,14187,41847,31808,13840
2001-12-28,-33487,23068,63260,12471,45958,32058,8990
2002-01-08,-44846,32613,67412,10688,55534,37728,5115
2002-01-15,-49134,36208,71748,10196,59330,40882,4674
2002-01-22,-47256,33036,67577,10262,57518,36636,3600
2002-01-29,-42898,28595,65182,11645,54543,32428,3833
2002-02-05,-40206,25221,66014,13314,53520,30712,5491
2002-02-12,-40208,26524,64702,12397,52605,30777,4253
2002-02-19,-40675,28128,68018,13921,54596,32533,4405
2002-02-26,-39171,27110,65009,12947,52118,32327,5217
2002-03-05,-46869,32037,66893,9433,56302,35995,3958
2002-03-12,-47246,32633,69921,10634,57880,36515,3882
2002-03-19,-49029,33081,71778,11364,60393,36681,3600
2002-03-26,-50993,34803,74477,11610,62603,38820,4017
