date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1995-11-28,35034,-19132,72461,56462,21428,3429,22561
1995-12-05,34269,-18764,70992,56542,22273,3198,21962
1995-12-12,34955,-19274,78456,62671,27716,3796,23070
1995-12-19,37327,-23044,55726,47910,10583,673,23717
1995-12-26,43885,-28074,63213,55131,11246,776,28850
1996-01-02,52652,-32299,71890,62923,10271,1328,33627
1996-01-09,55575,-33256,78227,67780,12205,1578,34834
1996-01-16,60439,-36988,84284,72606,12167,1274,38262
1996-01-23,56814,-35798,80456,69557,12743,1342,37140
1996-01-30,60946,-37035,84717,75096,14150,1085,38120
1996-02-06,47673,-30935,76388,64178,16505,607,31542
1996-02-13,49498,-30578,81446,68776,19278,1292,31870
1996-02-20,39929,-28625,79626,63132,23203,1978,30603
1996-02-27,27643,-20669,73756,53488,25845,3914,24583
1996-03-05,26380,-19845,70199,53030,26650,1985,21830
1996-03-12,27599,-19712,74241,58250,30651,1695,21407
1996-03-19,37405,-24358,58846,48264,10859,513,24871
1996-03-26,45616,-29664,68100,56977,11361,261,29925
1996-04-02,52173,-33900,77944,66342,14169,1040,34940
1996-04-09,58086,-35695,83973,73681,15595,2071,37766
1996-04-16,52179,-32574,80629,67568,15389,2771,35345
1996-04-23,33837,-21926,70632,54736,20899,2660,24586
1996-04-30,10905,-9187,68490,40809,29904,8724,17911
1996-05-07,6955,-8511,69235,39055,32100,9514,18025
1996-05-14,12274,-10024,68985,42368,30094,7548,17572
1996-05-21,24898,-15506,75454,54146,29248,4335,19841
1996-05-28,40138,-23871,84612,67422,27284,3736,27607
1996-06-04,48094,-30082,90273,75474,27380,1531,31613
1996-06-11,46052,-30748,98760,81670,35618,2009,32757
1996-06-18,44887,-29185,70593,56800,11913,800,29985
1996-06-25,40794,-28056,71198,56996,16202,1319,29375
1996-07-02,52161,-34188,82027,68893,16732,1459,35647
1996-07-09,50775,-34251,82820,68109,17334,2112,36363
1996-07-16,41154,-30346,79906,60362,19208,2008,32354
1996-07-23,30589,-23681,72207,52180,21591,2691,26372
1996-07-30,34383,-24368,72041,53739,19356,2657,27025
1996-08-06,9528,-9298,71289,43558,34030,8881,18179
1996-08-13,17211,-12136,68444,46235,29024,6770,18906
1996-08-20,21240,-12895,71701,49887,28647,7225,20120
1996-08-27,26499,-17125,78052,55406,28907,5695,22820
1996-09-03,32327,-18494,86286,63717,31390,5962,24456
1996-09-10,48253,-31523,102589,83809,35556,5323,36846
1996-09-17,55307,-37684,78955,67124,11817,2274,39958
1996-09-24,40411,-30333,72303,55725,15314,3500,33833
1996-10-01,47993,-32598,78542,62483,14490,3656,36254
1996-10-08,46547,-31300,76778,59868,13321,1440,32740
1996-10-15,48193,-30802,76276,62463,14270,965,31767
1996-10-22,47324,-30035,74473,63638,16314,250,30285
1996-10-29,49456,-31551,82265,68875,19419,1272,32823
1996-11-05,46343,-29522,75738,63301,16958,1198,30720
1996-11-12,30188,-21177,71473,56407,26219,1049,22226
1996-11-19,23370,-18693,71084,52563,29193,2331,21024
1996-11-26,27907,-19003,67412,51793,23886,2410,21413
1996-12-03,35708,-24590,76229,60591,24883,848,25438
1996-12-10,33428,-22744,76579,62749,29321,1224,23968
1996-12-17,33024,-23708,54232,42968,9944,1302,25010
1996-12-24,32830,-25100,54646,43949,11119,888,25988
1996-12-31,39494,-26475,59781,48449,8955,1783,28258
1997-01-07,45733,-31304,71117,59422,13689,237,31541
1997-01-14,47939,-32607,72957,61620,13681,791,33398
1997-01-21,46604,-32385,75440,63705,17101,800,33185
1997-01-28,44996,-33226,75822,61097,16101,1708,34934
1997-02-04,45180,-32803,79874,64854,19674,3094,35897
1997-02-11,45423,-34709,83850,69560,24137,923,35632
1997-02-18,42615,-33148,82037,66928,24313,1079,34227
1997-02-25,33790,-27251,80390,60505,26715,2876,30127
1997-03-04,28340,-25085,78819,58956,30616,2380,27465
1997-03-11,27815,-24227,88163,68327,40512,2386,26613
1997-03-18,31908,-25670,61971,45600,13692,2046,27716
1997-03-25,37288,-27027,67862,52862,15574,2615,29642
1997-04-01,28376,-23733,68670,49308,20932,2699,26432
1997-04-08,45297,-30640,79690,63485,18188,2615,33255
1997-04-15,48881,-33614,84154,69440,20559,1875,35489
1997-04-22,45630,-33594,82536,66794,21164,1941,35535
1997-04-29,50328,-35863,87253,72066,21738,1664,37527
1997-05-06,36496,-29805,82137,60465,23969,3630,33435
1997-05-13,-16751,6971,81674,37417,54168,19871,12900
1997-05-20,-26279,13580,94323,38313,64592,25107,11527
1997-05-27,-21964,9947,85114,37584,59548,21221,11274
1997-06-03,-22877,10839,84109,37245,60122,21915,11076
1997-06-10,-20181,10305,100978,53989,74170,20060,9755
1997-06-17,-15206,4461,50981,16547,31753,13951,9490
1997-06-24,-10749,1138,52859,20155,30904,12573,11435
1997-07-01,-12740,2468,49743,14694,27434,13831,11363
