date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
2014-02-25,-12510,10982,22142,1367,13877,16529,5547
2014-03-04,-15517,13432,25616,1291,16808,19346,5914
2014-03-11,-16296,14449,31905,1586,17882,21155,6706
2014-03-18,-18502,15751,31463,1243,19745,24645,8894
2014-03-25,-20858,18213,32748,1234,22092,26243,8030
2014-04-01,-20868,18480,32313,1439,22307,25765,7285
2014-04-08,-21802,19766,32898,1477,23279,26521,6755
2014-04-15,-21849,19847,33100,1477,23326,26671,6824
2014-04-22,-22486,20175,32579,1532,24018,26056,5881
2014-04-29,-20573,18480,29858,1791,22364,22979,4499
2014-05-06,-21521,20693,33025,2686,24207,25027,4334
2014-05-13,-20995,19340,30932,2439,23434,23806,4466
2014-05-20,-19475,17594,30556,3565,23040,22486,4892
2014-05-27,-20062,17944,30649,3654,23716,22034,4090
2014-06-03,-18622,17531,30066,2986,21608,22400,4869
2014-06-10,-18083,16855,32946,5419,23502,20401,3546
2014-06-17,-4989,3733,28467,2667,7656,21671,17938
2014-06-24,-6882,6152,31415,2739,9621,24855,18703
2014-07-01,-9869,8985,33455,2890,12759,26563,17578
2014-07-08,-14867,14416,36123,1959,16826,26750,12334
2014-07-15,-15274,15453,32879,2140,17414,26570,11117
2014-07-22,-15877,15132,32728,2581,18458,26028,10896
2014-07-29,-16555,15289,30531,2884,19439,23552,8263
2014-08-05,-15282,14500,25603,3057,18339,18949,4449
2014-08-12,-14355,13429,25214,3376,17731,17913,4484
2014-08-19,-12442,12032,24048,3600,16042,16796,4764
2014-08-26,-12537,11841,23619,3483,16020,16405,4564
2014-09-02,-10503,10172,23319,4328,14831,15623,5451
2014-09-09,-9702,9522,24920,5346,15048,14369,4847
2014-09-16,39,1120,16050,3703,3664,9814,8694
2014-09-23,-209,1841,16146,3664,3873,9779,7938
2014-09-30,2142,64,18209,5356,3214,10092,10028
2014-10-07,2363,-100,19214,6708,4345,10052,10152
2014-10-14,5485,-2384,21317,9967,4482,9171,11555
2014-10-21,5865,-2332,21311,10519,4654,8526,10858
2014-10-28,6561,-3898,22023,10951,4390,8506,12404
2014-11-04,8049,-4109,23716,11941,3892,9737,13846
2014-11-11,4411,-989,19809,8368,3957,9244,10233
2014-11-18,3952,-1247,19907,8111,4159,9134,10381
2014-11-25,4568,-2294,21096,8276,3708,9630,11924
2014-12-02,4308,-1680,20448,8156,3848,9272,10952
2014-12-09,5932,-2295,23550,10974,5042,9786,12081
2014-12-16,3247,-639,18447,5858,2611,9865,10504
2014-12-23,4444,-1408,19295,7099,2655,9786,11194
2014-12-30,4097,-1846,18071,6733,2636,8236,10082
2015-01-06,3863,-907,19437,6679,2816,9865,10772
2015-01-13,5319,-1776,21064,9158,3839,8396,10172
2015-01-20,3769,-1817,22818,7997,4228,10941,12758
2015-01-27,7512,-3659,25594,11093,3581,11908,15567
2015-02-03,9287,-4497,25687,13108,3821,10537,15034
2015-02-10,11118,-6200,26593,15243,4125,9272,15472
2015-02-17,10159,-5753,27700,14702,4543,10021,15774
2015-02-24,8831,-4330,27328,13392,4561,11107,15437
2015-03-03,5339,-1367,27610,9773,4434,14597,15964
2015-03-10,7086,-2480,29726,11646,4560,13347,15827
2015-03-17,4444,-1141,23317,7155,2711,13117,14258
2015-03-24,3057,-866,20958,5470,2413,12149,13015
2015-03-31,-1303,4031,24049,4473,5776,16443,12412
2015-04-07,-4440,5778,24920,4489,8929,16950,11172
2015-04-14,-4555,6003,25176,4579,9134,17081,11078
2015-04-21,-7709,8488,26617,4241,11950,18473,9985
2015-04-28,-10297,10180,28071,5134,15431,18281,8101
2015-05-05,-8226,9064,28379,4813,13039,19585,10521
2015-05-12,-555,1770,25525,7678,8233,14268,12498
2015-05-19,3676,-2231,26331,11720,8044,11192,13423
2015-05-26,7660,-5087,28514,14925,7265,10426,15513
2015-06-02,13187,-10539,33005,19500,6313,9432,19971
2015-06-09,15032,-11795,36911,21258,6226,11097,22892
2015-06-16,12698,-9168,37169,14652,1954,19382,28550
2015-06-23,17506,-13563,42911,19844,2338,19661,33224
2015-06-30,20163,-16066,43256,22781,2618,16949,33015
2015-07-07,22164,-18348,42873,24535,2371,14679,33027
2015-07-14,23537,-19654,42311,25907,2370,13504,33158
2015-07-21,20537,-15954,38544,22843,2306,13200,29154
2015-07-28,17041,-12765,37487,21230,4189,13550,26315
2015-08-04,15941,-11899,38530,21363,5422,14391,26290
2015-08-11,14376,-10572,36861,20282,5906,13931,24503
2015-08-18,13681,-9957,36523,20025,6344,14012,23969
2015-08-25,9686,-6063,33400,15789,6103,15388,21451
2015-09-01,12265,-8279,34339,18292,6027,13543,21822
2015-09-08,15680,-11820,38325,22252,6572,11677,23497
2015-09-15,5761,-2094,33352,9043,3282,22462,24556
2015-09-22,7840,-3529,35920,11126,3286,22990,26519
2015-09-29,6947,-3062,34105,11339,4392,20995,24057
2015-10-06,5434,-971,31930,11860,6426,18357,19328
2015-10-13,2836,692,29038,8794,5958,18344,17652
2015-10-20,-1418,3759,30142,8216,9634,19447,15688
2015-10-27,-3029,5589,31743,9123,12152,20339,14750
2015-11-03,-4066,6618,32539,9013,13079,21266,14648
2015-11-10,-2215,5564,33719,9798,12013,21267,15703
2015-11-17,-901,5248,34899,10212,11113,22219,16971
2015-11-24,-448,4010,35099,10292,10740,22603,18593
2015-12-01,-1793,4757,36623,10658,12451,22881,18124
2015-12-08,-7106,8881,38425,10251,17357,24452,15571
2015-12-15,458,1119,23626,4713,4255,16346,15227
2015-12-22,1693,-221,24057,6207,4514,14946,15167
2015-12-29,856,-146,24587,6004,5148,14971,15117
2016-01-05,64,1579,24928,5142,5078,16842,15263
2016-01-12,320,1541,25434,5297,4977,17149,15608
2016-01-19,6003,-2954,28114,10398,4395,14938,17892
2016-01-26,8331,-5400,30437,12538,4207,15166,20566
2016-02-02,10539,-8436,30979,14585,4046,13492,21928
2016-02-09,9999,-9139,33544,16620,6621,13666,22805
2016-02-16,9866,-8317,33596,16161,6295,14465,22782
2016-02-23,7595,-6615,32618,13626,6031,15968,22583
2016-03-01,5886,-4157,31473,12386,6500,16593,20750
2016-03-08,2225,-2000,34957,9122,6897,20419,22419
2016-03-15,285,1290,28451,5082,4797,20524,19234
2016-03-22,-1453,1017,27163,4040,5493,19375,18358
2016-03-29,-1657,1874,28248,4700,6357,20255,18381
2016-04-05,-2793,2903,28309,4971,7764,20152,17249
2016-04-12,-3974,4292,29575,4666,8640,21472,17180
2016-04-19,-5959,5351,31313,4673,10632,22674,17323
2016-04-26,-9373,7384,33789,4851,14224,24459,17075
2016-05-03,-10543,9200,36578,6791,17334,25306,16106
2016-05-10,-9689,9352,45419,7951,17640,33573,24221
2016-05-17,-6825,6688,43986,7388,14213,32545,25857
2016-05-24,-4184,4576,42189,8040,12224,30414,25838
2016-05-31,-5439,5504,44604,9061,14500,31919,26415
