epoch,quote,digit,sigma,sigma_bin
1781628946,208.82,2,3.7357,37
1781628947,208.9,0,3.7401,37
1781628948,208.86,6,3.7403,37
1781628949,208.83,3,3.7399,37
1781628950,208.89,9,3.7418,37
1781628951,208.89,9,3.7406,37
1781628952,208.9,0,3.7394,37
1781628953,208.9,0,3.7382,37
1781628954,208.9,0,3.7369,37
1781628955,208.89,9,3.7358,37
1781628956,208.91,1,3.7349,37
1781628957,208.88,8,3.7345,37
1781628958,208.82,2,3.7364,37
1781628959,208.88,8,3.7384,37
1781628960,208.83,3,3.7394,37
1781628961,208.84,4,3.7382,37
1781628962,208.85,5,3.7371,37
1781628963,208.87,7,3.7362,37
1781628964,208.81,1,3.7381,37
1781628965,208.82,2,3.7370,37
1781628966,208.8,0,3.7361,37
1781628967,208.82,2,3.7352,37
1781628968,208.9,0,3.7396,37
1781628969,208.95,5,3.7406,37
1781628970,208.92,2,3.7402,37
1781628971,208.95,5,3.7397,37
1781628972,208.93,3,3.7388,37
1781628973,208.96,6,3.7384,37
1781628974,208.9,0,3.7403,37
1781628975,208.9,0,3.7391,37
1781628976,208.9,0,3.7379,37
1781628977,208.87,7,3.7374,37
1781628978,208.83,3,3.7376,37
1781628979,208.8,0,3.7372,37
1781628980,208.82,2,3.7363,37
1781628981,208.84,4,3.7354,37
1781628982,208.8,0,3.7356,37
1781628983,208.85,5,3.7366,37
1781628984,208.84,4,3.7355,37
1781628985,208.87,7,3.7350,37
1781628986,208.9,0,3.7346,37
1781628987,208.94,4,3.7348,37
1781628988,208.96,6,3.7339,37
1781628989,208.94,4,3.7330,37
1781628990,208.94,4,3.7318,37
1781628991,208.97,7,3.7314,37
1781628992,208.9,0,3.7344,37
1781628993,208.93,3,3.7340,37
1781628994,208.9,0,3.7336,37
1781628995,208.95,5,3.7345,37
1781628996,208.94,4,3.7334,37
1781628997,208.91,1,3.7330,37
1781628998,208.89,9,3.7321,37
1781628999,208.88,8,3.7310,37
1781629000,208.83,3,3.7320,37
1781629001,208.75,5,3.7363,37
1781629002,208.7,0,3.7373,37
1781629003,208.78,8,3.7416,37
1781629004,208.73,3,3.7425,37
1781629005,208.69,9,3.7427,37
1781629006,208.68,8,3.7416,37
1781629007,208.68,8,3.7404,37
1781629008,208.65,5,3.7399,37
1781629009,208.65,5,3.7387,37
1781629010,208.64,4,3.7376,37
1781629011,208.58,8,3.7395,37
1781629012,208.58,8,3.7383,37
1781629013,208.52,2,3.7402,37
1781629014,208.52,2,3.7390,37
1781629015,208.6,0,3.7433,37
1781629016,208.66,6,3.7452,37
1781629017,208.68,8,3.7443,37
1781629018,208.67,7,3.7432,37
1781629019,208.66,6,3.7421,37
1781629020,208.69,9,3.7417,37
1781629021,208.81,1,3.7527,38
1781629022,208.79,9,3.7519,38
1781629023,208.76,6,3.7514,38
1781629024,208.76,6,3.7502,38
1781629025,208.77,7,3.7491,37
1781629026,208.88,8,3.7582,38
1781629027,209.01,1,3.7712,38
1781629028,209.01,1,3.7700,38
1781629029,209,0,3.7689,38
1781629030,209,0,3.7677,38
1781629031,209.05,5,3.7686,38
1781629032,209,0,3.7695,38
1781629033,209.03,3,3.7691,38
1781629034,209.04,4,3.7680,38
1781629035,209.03,3,3.7669,38
1781629036,209.02,2,3.7658,38
1781629037,209.03,3,3.7647,38
1781629038,209.09,9,3.7665,38
1781629039,209.11,1,3.7657,38
1781629040,209.06,6,3.7666,38
1781629041,209.04,4,3.7657,38
1781629042,209.01,1,3.7653,38
1781629043,209.03,3,3.7644,38
1781629044,209.08,8,3.7653,38
1781629045,209.07,7,3.7642,38
1781629046,209.06,6,3.7631,38
1781629047,209.14,4,3.7673,38
1781629048,209.15,5,3.7662,38
1781629049,209.11,1,3.7663,38
1781629050,209.11,1,3.7652,38
1781629051,209.1,0,3.7641,38
1781629052,209.14,4,3.7642,38
1781629053,209.19,9,3.7651,38
1781629054,209.21,1,3.7643,38
1781629055,209.11,1,3.7714,38
1781629056,209.16,6,3.7723,38
1781629057,209.14,4,3.7714,38
1781629058,209.16,6,3.7706,38
1781629059,209.1,0,3.7724,38
1781629060,209.16,6,3.7742,38
1781629061,209.11,1,3.7751,38
1781629062,209.13,3,3.7742,38
1781629063,209.19,9,3.7760,38
1781629064,209.19,9,3.7748,38
1781629065,209.19,9,3.7737,38
1781629066,209.11,1,3.7777,38
1781629067,209.09,9,3.7769,38
1781629068,209.06,6,3.7765,38
1781629069,209,0,3.7783,38
1781629070,208.97,7,3.7778,38
1781629071,208.95,5,3.7770,38
1781629072,208.92,2,3.7766,38
1781629073,208.94,4,3.7757,38
1781629074,208.96,6,3.7749,38
1781629075,208.99,9,3.7744,38
1781629076,208.98,8,3.7734,38
1781629077,208.99,9,3.7723,38
1781629078,209.01,1,3.7715,38
1781629079,209.02,2,3.7704,38
1781629080,209.04,4,3.7695,38
1781629081,208.95,5,3.7750,38
1781629082,208.91,1,3.7751,38
1781629083,208.88,8,3.7747,38
1781629084,208.8,0,3.7787,38
1781629085,208.81,1,3.7777,38
1781629086,208.83,3,3.7768,38
1781629087,208.85,5,3.7760,38
1781629088,208.86,6,3.7749,38
1781629089,208.82,2,3.7751,38
1781629090,208.83,3,3.7740,38
1781629091,208.81,1,3.7732,38
1781629092,208.83,3,3.7723,38
1781629093,208.78,8,3.7732,38
1781629094,208.78,8,3.7721,38
1781629095,208.84,4,3.7738,38
1781629096,208.86,6,3.7730,38
1781629097,208.86,6,3.7718,38
1781629098,208.83,3,3.7714,38
1781629099,208.8,0,3.7710,38
1781629100,208.83,3,3.7706,38
1781629101,208.84,4,3.7695,38
1781629102,208.8,0,3.7697,38
1781629103,208.86,6,3.7714,38
1781629104,208.95,5,3.7768,38
1781629105,208.95,5,3.7756,38
1781629106,208.98,8,3.7752,38
1781629107,208.99,9,3.7741,38
1781629108,208.97,7,3.7733,38
1781629109,208.96,6,3.7723,38
1781629110,208.99,9,3.7718,38
1781629111,209.04,4,3.7727,38
1781629112,209.06,6,3.7719,38
1781629113,209.03,3,3.7715,38
1781629114,209.01,1,3.7707,38
1781629115,208.94,4,3.7734,38
1781629116,208.94,4,3.7723,38
1781629117,208.9,0,3.7724,38
1781629118,208.92,2,3.7716,38
1781629119,208.88,8,3.7718,38
1781629120,208.82,2,3.7735,38
1781629121,208.78,8,3.7736,38
1781629122,208.8,0,3.7728,38
1781629123,208.82,2,3.7720,38
1781629124,208.79,9,3.7716,38
1781629125,208.8,0,3.7705,38
1781629126,208.86,6,3.7723,38
1781629127,208.87,7,3.7712,38
1781629128,208.86,6,3.7702,38
1781629129,208.87,7,3.7691,38
1781629130,208.86,6,3.7681,38
1781629131,208.9,0,3.7682,38
1781629132,208.89,9,3.7672,38
1781629133,208.96,6,3.7699,38
1781629134,208.98,8,3.7691,38
1781629135,208.89,9,3.7744,38
1781629136,208.86,6,3.7740,38
1781629137,208.91,1,3.7748,38
1781629138,208.92,2,3.7738,38
1781629139,208.97,7,3.7746,38
1781629140,208.94,4,3.7742,38
1781629141,208.89,9,3.7751,38
1781629142,208.92,2,3.7746,38
1781629143,208.96,6,3.7748,38
1781629144,209,0,3.7749,38
1781629145,209.05,5,3.7758,38
1781629146,209.08,8,3.7753,38
1781629147,209.09,9,3.7743,38
1781629148,209.04,4,3.7752,38
1781629149,209.02,2,3.7744,38
1781629150,209.01,1,3.7733,38
1781629151,209,0,3.7723,38
1781629152,208.95,5,3.7731,38
1781629153,209,0,3.7740,38
1781629154,209.05,5,3.7748,38
1781629155,209.12,2,3.7775,38
1781629156,209.11,1,3.7765,38
1781629157,209.12,2,3.7754,38
1781629158,209.11,1,3.7744,38
1781629159,209.1,0,3.7734,38
1781629160,209.03,3,3.7761,38
1781629161,209.01,1,3.7753,38
1781629162,209.05,5,3.7754,38
1781629163,209.04,4,3.7744,38
1781629164,209.1,0,3.7761,38
1781629165,209.1,0,3.7750,38
1781629166,209.09,9,3.7740,38
1781629167,209.06,6,3.7735,38
1781629168,209.08,8,3.7728,38
1781629169,209.13,3,3.7736,38
1781629170,209.12,2,3.7726,38
1781629171,209.11,1,3.7715,38
1781629172,209.01,1,3.7782,38
1781629173,208.98,8,3.7777,38
1781629174,208.98,8,3.7766,38
1781629175,208.99,9,3.7756,38
1781629176,208.97,7,3.7748,38
1781629177,208.98,8,3.7738,38
1781629178,209.04,4,3.7755,38
1781629179,209.07,7,3.7751,38
1781629180,209.05,5,3.7743,38
1781629181,209.01,1,3.7744,38
1781629182,209,0,3.7734,38
1781629183,208.99,9,3.7724,38
1781629184,208.96,6,3.7720,38
1781629185,208.96,6,3.7709,38
1781629186,208.96,6,3.7698,38
1781629187,209.02,2,3.7715,38
1781629188,208.99,9,3.7711,38
1781629189,208.99,9,3.7700,38
1781629190,208.98,8,3.7690,38
1781629191,208.96,6,3.7682,38
1781629192,208.95,5,3.7672,38
1781629193,208.87,7,3.7710,38
1781629194,208.87,7,3.7699,38
1781629195,208.91,1,3.7701,38
1781629196,208.93,3,3.7693,38
1781629197,208.96,6,3.7689,38
1781629198,209,0,3.7690,38
1781629199,208.98,8,3.7683,38
1781629200,208.99,9,3.7673,38
1781629201,209.06,6,3.7699,38
